From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
3761;3760;sea;3619;1446;1914;1443;1922;
3760;3763;sea;3619;1435;1922;1431;1917;
3431;3441;river_large;3379;3435;1848;3439;1855;
3421;3570;river_large;3375;3490;1759;3497;1762;
3558;3562;river_large;3370;3545;1725;3545;1733;
3562;3572;river_large;3373;3544;1741;3541;1748;
3556;3605;river_large;3367;3601;1700;3603;1707;
3553;3551;sea;3365;3591;1665;3596;1665;
1614;3122;sea;1037;2489;2414;2497;2413;
1593;2644;sea;1039;2342;2357;2345;2349;
2641;2637;sea;2618;2331;2305;2333;2293;
2639;2662;sea;2615;2324;2227;2336;2225;
2669;2610;sea;2613;2335;2180;2351;2186;
2674;2672;sea;2608;2400;2136;2391;2128;
89;101;sea;64;1345;2422;1343;2436;
21;119;sea;5;1708;2210;1718;2212;
361;360;sea;129;1415;2534;1421;2543;
494;423;river_large;181;1509;2692;1509;2682;
483;431;river_large;184;1423;2686;1423;2678;
724;725;sea;160;1655;2710;1656;2698;
725;726;sea;160;1655;2691;1647;2684;
765;771;sea;164;1776;2580;1775;2568;
771;772;sea;164;1774;2565;1774;2560;
1158;1160;sea;997;2021;2188;2036;2196;
1146;1145;sea;1008;2143;2107;2142;2090;
1205;1165;sea;999;2077;2231;2078;2219;
1185;1190;sea;1054;2175;2234;2181;2236;
1195;1210;sea;1061;2233;2205;2242;2200;
1210;1211;sea;1061;2256;2185;2260;2180; 
1182;1212;sea;1060;2204;2185;2218;2179;
1212;1213;sea;1078;2224;2160;2229;2147;
1215;1214;sea;1080;2281;2141;2273;2140;
1257;1256;sea;995;2015;2258;2010;2255;
1256;1255;sea;995;2005;2245;2003;2231;
1255;1158;sea;997;2009;2211;2010;2195;
1244;1249;sea;1048;2160;2282;2169;2283;
1318;1314;sea;1044;2240;2400;2240;2391;
1270;1263;sea;992;1970;2325;1965;2322;
1593;1592;sea;1040;2332;2358;2313;2350;
1592;1591;sea;1040;2299;2348;2281;2337;
1215;1216;sea;1080;2284;2134;2279;2118;
1751;1755;river_large;1092;2487;2694;2491;2702;
1980;1989;river_large;1857;2617;1697;2613;1690;
1964;1962;river_large;1852;2586;1759;2582;1752;
1976;1970;river_large;1854;2622;1734;2616;1729;
2024;2025;river_large;1862;2593;1546;2601;1546;
2014;2018;river_large;1860;2602;1618;2610;1616;
2039;2042;river_large;1867;2705;1430;2711;1432;
2047;2049;river_large;1870;2710;1365;2718;1364;
2033;2034;river_large;1864;2650;1473;2643;1465;
1975;1972;river_large;1851;2637;1755;2636;1762;
1987;1969;river_large;1855;2592;1712;2600;1715;
-1;-1;;-1;-1;-1;-1;-1;
